course,module,rubric_path,criteria_count,used_default_criteria,criteria_sample
13-virtual-diagnostic-procedures,week-06-review,content\courses\13-virtual-diagnostic-procedures\modules\week-06-review\rubric.md,1,no,(list objectives for Virtual Diagnostic Procedures)
14-advanced-engine-diagnostics,week-01-introduction,content\courses\14-advanced-engine-diagnostics\modules\week-01-introduction\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
14-advanced-engine-diagnostics,week-02-fundamentals,content\courses\14-advanced-engine-diagnostics\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
14-advanced-engine-diagnostics,week-03-components,content\courses\14-advanced-engine-diagnostics\modules\week-03-components\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
14-advanced-engine-diagnostics,week-04-diagnostics,content\courses\14-advanced-engine-diagnostics\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
14-advanced-engine-diagnostics,week-05-service-procedures,content\courses\14-advanced-engine-diagnostics\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
14-advanced-engine-diagnostics,week-06-review,content\courses\14-advanced-engine-diagnostics\modules\week-06-review\rubric.md,1,no,(list objectives for Advanced Engine Diagnostics)
15-automotive-network-systems,week-01-introduction,content\courses\15-automotive-network-systems\modules\week-01-introduction\rubric.md,1,no,(list objectives for Automotive Network Systems)
15-automotive-network-systems,week-02-fundamentals,content\courses\15-automotive-network-systems\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Automotive Network Systems)
15-automotive-network-systems,week-03-components,content\courses\15-automotive-network-systems\modules\week-03-components\rubric.md,1,no,(list objectives for Automotive Network Systems)
15-automotive-network-systems,week-04-diagnostics,content\courses\15-automotive-network-systems\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Automotive Network Systems)
15-automotive-network-systems,week-05-service-procedures,content\courses\15-automotive-network-systems\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Automotive Network Systems)
15-automotive-network-systems,week-06-review,content\courses\15-automotive-network-systems\modules\week-06-review\rubric.md,1,no,(list objectives for Automotive Network Systems)
16-adas-driver-assistance,week-01-introduction,content\courses\16-adas-driver-assistance\modules\week-01-introduction\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
16-adas-driver-assistance,week-02-fundamentals,content\courses\16-adas-driver-assistance\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
16-adas-driver-assistance,week-03-components,content\courses\16-adas-driver-assistance\modules\week-03-components\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
16-adas-driver-assistance,week-04-diagnostics,content\courses\16-adas-driver-assistance\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
16-adas-driver-assistance,week-05-service-procedures,content\courses\16-adas-driver-assistance\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
